company,description,industries
CAPRI HOLDINGS LIMITED (CPRI),"Capri Holdings Limited is a fashion luxury group, consisting of Michael Kors, Versace, and Jimmy Choo brands. The company sells women’s and men’s accessories, footwear, watches, jewelry, eyewear and fragrances.",consumer goods
CALPINE CORPORATION (CPN),"Acquired in 2018, Calpine sold power, steam, and other energy products and services to utilities, electric system operators, industrial and agricultural companies, municipalities, as well as retail commercial, industrial and residential customers. The company primarily operated natural gas-fired and geothermal power plants in North America, with presence in California, Texas, and the Northeast and Mid-Atlantic regions of the U.S.","Acquired.,Bankruptcy.,energy"
CAMPBELL SOUP COMPANY (CPB),"Campbell Soup Company manufactures and markets branded convenience food products, including Campbell’s condensed and ready-to-serve soups; Swanson broth and stocks; Prego pasta sauces; Pace Mexican sauces; Campbell’s gravies, pasta, beans and dinner sauces; Swanson canned poultry; Plum food and snacks; Pepperidge Farm bakery and frozen products; V8 beverages, and Campbell’s tomato juice.",consumer goods
COVIDIEN PLC (COV),"Acquired by Medtronic plc in 2015, Covidien developed, manufactured and sold medical devices, pharmaceuticals, and medical supplies for use in clinical and home settings.","Acquired.,health care,medical devices"
COTY INC. (COTY),"Coty provides color cosmetics, retail hair coloring and styling products, body care and fragrances.",consumer goods
COSTCO WHOLESALE CORPORATION (COST),"Costco operates membership warehouses based on the concept that offering low prices on a limited selection of branded and private-label products will produce high sales volumes and rapid inventory turnover. The company operates in the U.S., Canada, the U.K., Mexico, Japan, Australia, Spain, and through majority-owned subsidiaries in Taiwan and Korea.",retail
CONOCOPHILLIPS (COP),ConocoPhillips is an oil and gas exploration and production company with operations in over 20 countries.,energy
"THE COOPER COMPANIES, INC. (COO)",Cooper makes contact lenses and provides products and services focusing on women's health and in-vitro fertilization.,"medical devices,pharmaceuticals"
"ROCKWELL COLLINS, INC. (COL)","Acquired by United Technologies in November 2018, Rockwell Collins designed, produced and supported communications and aviation systems for commercial and military customers. Company products included avionics, aircraft cabin electronics, communications and navigation systems, situational awareness and surveillance products, electro-mechanical pilot control solutions, precision targeting, electronic warfare and range and training systems,","Acquired.,equipment"
CABOT OIL & GAS CORPORATION (COG),"Cabot is engaged in natural gas and oil development, exploitation, exploration and production in the continental U.S.",energy
CAPITAL ONE FINANCIAL CORPORATION (COF),"Capital One is a financial services holding company. Its principal subsidiaries are: Capital One Bank (USA), National Association, offering credit and debit card products, and Capital One, National Association, which offers banking products and financial services to consumers, small businesses and commercial clients.","banking,financial company,financial services"
CONSOL ENERGY INC (CNX),CONSOL Energy engages in oil and gas exploration and production and coal mining in the Appalachian Basin.,energy
"CENTERPOINT ENERGY, INC. (CNP)","CenterPoint is a public utility holding company, whose subsidiaries provide electricity and gas in the Texas Gulf Coast area that includes the city of Houston. The company owns and operates natural gas distribution systems, offering natural gas supplies primarily to commercial and industrial customers and electric and gas utilities.",utility
"CNO FINANCIAL GROUP, INC. (CNO)","CNO provides health insurance, annuity, and individual life insurance products, focusing on middle-income pre-retiree and retired Americans. The company sells its products through career agents, independent producers, and direct marketing.","financial company,insurance"
CENTENE CORPORATION (CNC),"Centene provides health plan coverage to individuals through government subsidized programs, including Medicaid and the Supplemental Security Income Program, as well as healthcare services to state programs, correctional facilities, healthcare organizations, employer groups and other commercial organizations.",health care
"COMVERSE TECHNOLOGY, INC (CMVT)","Acquired by Verint Systems in 2013, Comverse provided prepaid and postpaid billing and customer management software products to wireless, wireline and cable network operators.","Acquired.,software,telecommunications"
CMS ENERGY CORPORATION (CMS),"CMS Energy is an energy company operating primarily in Michigan. It is the parent holding company of Consumers, an electric and gas utility, and CMS Enterprises, an independent power producer.",utility
CUMMINS INC. (CMI),"Cummins designs, manufactures, distributes and services diesel and natural gas engines and engine-related component products, including filtration, after-treatment, turbochargers, fuel systems, controls systems, air handling systems and electric power generation systems. The company sells to original equipment manufacturers, distributors and other customers, and has a worldwide network of company-owned and independent distributors and dealers.",equipment
"CHIPOTLE MEXICAN GRILL, INC. (CMG)","Chipotle operates Chipotle Mexican Grill restaurants, which serve burritos, tacos, burrito bowls and salads, primarily in the U.S.",consumer services
CME GROUP INC. (CME),"CME Group traces it roots to the 1800's futures exchanges and the Chicago Mercantile Exchange. Company products include exchange-traded and privately negotiated futures and options contracts and swaps, traded through its electronic trading platform and its trading facilities in Chicago and New York City. The company also provides hosting, connectivity and customer support for electronic trading through its co-location services; clearing a",business services
COMCAST CORPORATION (CMCSA),"Comcast has two primary businesses: Comcast Cable and NBCUniversal. Comcast Cable provides video, high-speed Internet and voice services to residential and business customers in the U.S. under the XFINITY brand. NBCUniversal operates national and regional sports and news networks, NBC and Telemundo broadcast television stations, Universal Pictures, and Universal theme parks.",telecommunications
COMERICA INCORPORATED (CMA),"Comerica provides banking services primarily in Texas, California and Michigan.","banking,financial company"
THE CLOROX COMPANY (CLX),"Clorox manufactures and markets consumer and professional products, including bleach and cleaning brands, clog removers, home and personal care products, cat litter, bags, wraps and containers, charcoal, dressings and sauces, and water-filtration brands. The company was founded in 1913.",consumer goods
CLIFFS NATURAL RESOURCES INC. (CLF),"Cliffs is a mining and natural resources company in the U.S., tracing its history to 1847. It supplies iron ore pellets to the North American steel industry from mines and pellet plants located in Michigan and Minnesota. Additionally, Cliffs operates an iron ore mining complex in Western Australia.",materials
COLGATE-PALMOLIVE COMPANY (CL),"Colgate is a consumer products company founded in 1806. Its products include toothpaste, manual toothbrush, and mouthwash brands, as well as pharmaceutical products for dentists; liquid hand soap, shower gel, bar soap, deodorant and antiperspirant, shampoo and conditioner brands; dishwashing liquids, household cleaners and fabric softeners.",consumer goods
CIT GROUP INC. (CIT),"CIT was formed in 1908. The company offers financing, leasing and advisory services, principally to middle market companies in a variety of industries in North America, and equipment financing and leasing solutions to the transportation industry worldwide. CIT provides banking and related services to commercial and individual customers through its CIT Bank, N.A. subsidiary, which has branches in southern California.","Bankruptcy.,banking,financial company"
CINCINNATI FINANCIAL CORPORATION (CINF),"Cincinnati Financial provides business, homeowner and auto insurance, life insurance, disability income policies and fixed annuities, marketed through independent insurance agencies in the U.S.","financial company,insurance"
CIENA CORPORATION (CIEN),"Ciena provides network operators with equipment, software and services for the transport, switching, aggregation and management of voice, video and data traffic on communications networks.","hardware,telecommunications"
CIGNA CORPORATION (CI),"Cigna provides medical, dental, disability, life and accident insurance, primarily to employers and their employees, and seniors with Medicare and Medicaid plans.","financial company,health care,insurance"
"C.H. ROBINSON WORLDWIDE, INC. (CHRW)","C.H. Robinson  is a third party logistics company, providing freight transportation services and logistics solutions to companies in a variety of industries. In addition to transportation, the company provides services for the buying, selling, and marketing of fresh fruits, vegetables, and other perishable items, which was its original business dating back to 1905.","business services,transportation"
CHESAPEAKE ENERGY CORPORATION (CHK),"Chesapeake is a U.S. oil and gas producer. The company has assets in the Eagle Ford Shale in Texas, the Utica Shale in Ohio and Pennsylvania, the Anadarko Basin in Oklahoma and Texas, the Niobrara Shale in the Powder River Basin in Wyoming, the Haynesville/Bossier Shales in Louisiana and Texas, the Marcellus Shale in the Appalachian Basin in Pennsylvania, and the Barnett Shale in the Fort Worth Basin in Texas.",energy
"CHURCH & DWIGHT CO., INC. (CHD)","The company, founded in 1846, makes branded household, personal care and specialty consumer products, such as Arm & Hammer baking soda, cat litter, and laundry detergents, Trojan condoms, lubricants and vibrators, Oxiclean and Xtra cleaning solutions and detergents, Spinbrush toothbrushes, and First Response home pregnancy and ovulation test kits. The company sells its products through supermarkets, drugstores, convenience stores, and onl",consumer goods
CAREFUSION CORPORATION (CFN),"Acquired by Becton, Dickinson in 2015, CareFusion was a global medical technology company with products including IV infusion systems, valves, administration sets and accessories, automated medication dispensing and supply management systems, and respiratory ventilators.","Acquired.,health care,medical devices"
"CITIZENS FINANCIAL GROUP, INC. (CFG)","The company is a bank holding company, with retail bank operations in the New England, Mid-Atlantic and Midwest regions of the U.S.","banking,financial company"
COUNTRYWIDE FINANCIAL CORPORATION (CFC),"Countrywide Financial engaged in mortgage banking, banking and mortgage warehouse lending, dealing in securities and insurance underwriting. After suffering credit losses in 2007, the Company was acquired by Bank of America in 2008.","Acquired.,banking,financial company,financial services"
"CF INDUSTRIES HOLDINGS, INC. (CF)","CF Holdings manufactures and distributes nitrogen fertilizer and other nitrogen products, serving farmers, distributors, and industrial users.",materials
CERNER CORPORATION (CERN),"Cerner supplies health care information technology. The company offers integrated clinical, financial and management information systems and services to hospitals, physician practices, laboratories, clinics, retail pharmacies, and employer sites.","health care,IT services"
CELGENE CORPORATION (CELG),"Celgene is a biopharmaceutical company that develops and commercializes therapies for the treatment of cancer and inflammatory diseases. Company products include Revlimid, Pomalyst/Imnovid, Abraxane, Otezla, Vidaza, Thalomid, and Istodax.","health care,pharmaceuticals"
"CONSTELLATION ENERGY GROUP, INC (CEG)","Acquired by Excelon Corporation in 2012, Constellation Energy was an energy company that included a merchant energy business and a regulated electric and gas public utility in the City of Baltimore and 10 counties in Maryland.","Acquired.,utility"
"CADENCE DESIGN SYSTEMS, INC. (CDNS)","Cadence Design Systems offers software, services, and reusable integrated circuit designs to customers who design electronic products.",software
"CLEAR CHANNEL COMMUNICATIONS, INC. (CCU)","Prior to its 2006 acquisition, Clear Channel was a diversified media company engaged in radio broadcasting and outdoor advertising.","Acquired.,media"
CARNIVAL CORPORATION (CCL),"Carnival operates vacation cruise ships. Carnival Corporation and Carnival plc operate a dual listed company, with the businesses of both companies combined through a number of contracts, as if they were a single economic enterprise with a single senior executive management team and identical Boards of Directors, but each has retained its separate legal identity, stock exchange listing and its own shareholders.",consumer services
CROWN CASTLE INTERNATIONAL CORP. (CCI),"The company is a REIT that owns, operates and leases shared wireless infrastructure, such as towers and small cell networks supported by fiber.","real estate,REIT,telecommunications"
"COCA-COLA ENTERPRISES, INC. (CCE)","Coca-Cola Enterprises, Inc. markets, produces, and distributes nonalcoholic beverages. The Company is the strategic bottling partner of The Coca-Cola Company (TCCC) in Western Europe, with 10-year bottling agreements with TCCC for each territory it serves.",manufacturing
"[FORMER] COCA-COLA ENTERPRISES, INC (CCE)","Acquired by The Coca-Cola Company in 2010, Coca-Cola Enterprises had perpetual bottling rights within its U.S. territories for products with the name ""Coca-Cola."" The company marketed, produced, and distributed nonalcoholic beverages, principally made from syrups and concentrates purchased from The Coca-Cola Company","Acquired.,manufacturing"
CBS CORPORATION (CBS),"CBS Corporation is a mass media company that operates the CBS Television Network, TV studios, Showtime Cable Network, the Movie Channel, CBS Sports Network, Simon & Schuster publishers, and a number of local broadcast TV and radio stations in the U.S.",media
"CBRE GROUP, INC. (CBRE)","CBRE Group is a commercial real estate services and investment firm with operations in major metropolitan areas throughout the world. The Company offers a full range of services to occupiers, owners, lenders and investors in office, retail, industrial, multifamily and other types of commercial real estate.",real estate
"CBOE HOLDINGS, INC. (CBOE)","CBOE operates exchanges for trading options on various market indexes and futures contracts, such as options on the stocks of individual corporations or exchange-traded funds.",business services
COOPER INDUSTRIES PLC (CBE),"Acquired by Eaton Corporation in 2012, Cooper manufactured and sold electrical and circuit protection products, and hand tools, power tools, and automated assembly systems.","Acquired.,equipment"
CHUBB CORP (CB),"Acquired by ACE Limited in 2015, the legacy Chubb Corp was a holding company for a family of property and casualty insurance companies known informally as the Chubb Group of Insurance Companies","Acquired.,financial company,insurance"
CHUBB LIMITED (CB),"Chubb Limited is a global commercial, property, and casualty insurance and reinsurance provider.","financial company,insurance"
CATERPILLAR INC. (CAT),"Caterpillar is a manufacturer of construction and mining equipment, diesel and natural gas engines, industrial gas turbines and diesel-electric locomotives. The company also provides financing and related services.",equipment
CAMERON INTERNATIONAL CORPORATION (CAM),"Acquired by Schlumberger in 2016, Cameron International provided flow equipment and services to the oil and gas industry.","Acquired.,engineering and construction,equipment"
"CARDINAL HEALTH, INC. (CAH)","Cardinal Health provides medical products and pharmaceuticals to hospitals, pharmacies, clinics laboratories and physician offices worldwide.",health care
"CONAGRA FOODS, INC. (CAG)","ConAgra Foods is a packaged food company with brands such as Marie Callender's, Healthy Choice, Slim Jim, Hebrew National, Reddi-wip, and Egg Beaters. ConAgra Foods also supplies frozen potato and sweet potato products as well as other vegetable, spice, and grain products to restaurant, foodservice operator, and commercial customers.",consumer goods
"CA, INC. (CA)","CA provides software solutions enabling customers to plan, develop, manage and secure applications and enterprise environments across distributed, cloud, mobile and mainframe platforms.","IT services,software"
CITIGROUP INC (C),"Citigroup is a global diversified financial services holding company, whose businesses provide consumers, corporations, governments and institutions with a broad range of financial products and services, including consumer banking and credit, corporate and investment banking, securities brokerage, trade and securities services and wealth management. Citigroup has approximately 200 million customer accounts and does business in more than 1","banking,financial company"
"BOSTON PROPERTIES, INC. (BXP)","Boston Properties is a self-administered and self-managed real estate investment trust (REIT) that owns and develops office properties in the U.S. Company properties are concentrated in Boston, Washington, DC, midtown Manhattan, San Francisco and Princeton, NJ.","real estate,REIT"
BORGWARNER INC. (BWA),"BorgWarner is a worldwide manufacturer of automotive powertrain systems and components primarily for passenger cars, sport-utility vehicles, vans and light trucks, as well as commercial and off-highway vehicles.",manufacturing
"ANHEUSER-BUSCH COMPANIES, INC (BUD)","Acquired by InBev N.V./ S.A. in 2008,  Anheuser-Busch was a beer brewer with origins dating back to 1875.","Acquired.,consumer goods"
PEABODY ENERGY CORPORATION (BTU),"Peabody Energy is a coal mining, marketing, and trading company in the U.S. and Australia.","Bankruptcy.,materials"
BOSTON SCIENTIFIC CORPORATION (BSX),"Boston Scientific Corporation is a worldwide developer, manufacturer and marketer of medical devices that are used in a broad range of interventional medical specialties including cardiac rhythm management, electrophysiology, interventional cardiology, peripheral interventions, neurovascular, endoscopy, urology, womens health and neuromodulation.","health care,medical devices"
BEAR STEARNS COMPANIES INC. (BSC),"Acquired by JPMorgan Chase & Co in 2008, Bear Stearns was a holding company that provided investment banking, securities and derivatives trading, clearance and brokerage services to corporations, governments, institutional and individual investors worldwide.","Acquired.,banking,financial company,financial services"
"BIO-REFERENCE LABORATORIES, INC (BRLI)","Acquired by OPKO HEALTH in 2015, Bio-Reference Laboratories was a clinical testing laboratory offering testing, information and related services to physician offices, clinics, hospitals, employers and governmental units.","Acquired.,health care"
"BARR PHARMACEUTICALS, INC. (BRL)","Acquired by Teva Pharmaceuticals in 2008, Barr Pharmaceuticals engaged in the development, manufacture and marketing of generic and proprietary pharmaceuticals, primarily in the United States, with a drug portfolio largely concentrated in the area of female healthcare.","Acquired.,health care,pharmaceuticals"
BERKSHIRE HATHAWAY INC. (BRK.A),"Berkshire Hathaway is a holding company. Its major subsidiaries are insurance businesses conducted on both a primary and a reinsurance basis, a freight rail transportation business, and a group of utility and energy generation and distribution businesses. Berkshire owns and operates a large number of other businesses. Operating subsidiaries are managed on a decentralized basis with no shared business functions.",conglomerate
BROADCOM CORPORATION (BRCM),"Acquired by Avago Technologies in 2016, Broadcom provided semiconductor solutions for wired and wireless communications.","Acquired.,hardware"
BURLINGTON NORTHERN SANTA FE CORPORATION (BNI),"Acquired by Berkshire Hathaway Inc. in 2010, Burlington Northern Santa Fe was primarily engaged in the freight rail transportation business.","Acquired.,transportation"
BRISTOL-MYERS SQUIBB COMPANY (BMY),"Bristol-Myers Squibb is a successor to a business started in 1887. The company develops, licenses, manufactures, distributes and sells pharmaceutical products that include chemically-synthesized drugs and biologics for cardiovascular, virology, including human immunodeficiency virus (HIV), oncology, neuroscience and other therapies.","health care,pharmaceuticals"
"BEMIS COMPANY, INC. (BMS)","Bemis Company continues a business formed in 1858. The Company manufactures multilayer polymer, blown and cast film structures to produce packaging sold for a variety of food, medical, pharmaceutical, personal care, electronics, and industrial applications.","manufacturing,materials"
BMC SOFTWARE INC (BMC),"Acquired in 2013, BMC Software provided systems management, service management and automation software primarily for large enterprises. Company solutions included mainframe, distributed and virtualized systems, applications, databases and IT process management solutions.","Acquired.,software"
BALL CORPORATION (BLL),"Organized in 1880, Ball Corporation supplies metal packaging, such as aluminum and steel beverage containers, to the beverage, food, personal care and household products industries.",manufacturing
"BLACKROCK, INC. (BLK)",,
BOOKING HOLDINGS INC. (BKNG),"Booking Holdings provides online reservations of accommodations, rental cars and travel services. The company operates Booking.com, priceline.com, KAYAK, agoda.com, Rentalcars.com, and OpenTable",internet
"THE BUCKLE, INC. (BKE)","The Buckle is a U.S. retailer of casual apparel, footwear, and accessories for fashion-conscious young men and women.",retail
THE BANK OF NEW YORK MELLON CORPORATION (BK),"BNY Mellon has been in business since 1784. The banking subsidiaries of the company engage in trust and custody activities, investment management services, banking services and various securities-related activities.","banking,financial company"
BJ SERVICES COMPANY (BJS),"Acquired by Baker Hughes in 2009, BJ Services Company was a worldwide provider of pressure pumping and oilfield services, such as cementing, stimulation, well casing and tubular services, completion tools and pipeline services for the petroleum industry.","Acquired.,engineering and construction,energy"
BIOGEN INC. (BIIB),"Biogen is a global biopharmaceutical company that develops, manufactures and delivers therapies to patients for the treatment of neurodegenerative diseases, hematologic conditions and autoimmune disorders.","health care,pharmaceuticals"
"BIG LOTS, INC. (BIG)","Big Lots is a U.S. discount retailer of food, consumables, home products, furniture, seasonal goods and electronics.",retail
BAKER HUGHES INCORPORATED (BHI),"Acquired by GE in 2017, Baker Hughes was a global supplier of oilfield products and services, such as drill bits and drilling systems, tools for well logging, drilling fluids, electric submersible pumps, and upstream chemicals.","Acquired.,engineering and construction,energy"
"BRIGHTHOUSE FINANCIAL, INC. (BHF)",Brighthouse offers individual annuities and individual life insurance.,"financial company,insurance"
BROWN-FORMAN CORPORATION (BF.A),"Brown-Forman is a successor to a business founded in 1870. The company manufactures, imports, bottles and sells alcoholic beverages under brands such as Jack Daniel’s, Finlandia, Korbel, el Jimador, Herradura, Canadian Mist and Chambord.",consumer goods
"FRANKLIN RESOURCES, INC. (BEN)","Franklin Resources is a holding company that offers investment management and related services under brand names including Franklin, Templeton, Mutual Series, Bissett, Fiduciary Trust, Darby, Balanced Equity Management and K2","asset management,banking,financial company"
BEAM INC (BEAM),"Acquired by Suntory Holdings Limited in January 2013, Beam Inc. engaged in the manufacture, production and sale of distilled spirits.","Acquired.,consumer goods"
"BECTON, DICKINSON AND COMPANY (BDX)","Becton, Dickinson and Company is successor to a business started in 1897. The company develops, manufactures and sells medical devices, instrument systems and reagents used by healthcare institutions, life science researchers, clinical laboratories, the pharmaceutical industry and the general public.","health care,medical devices"
BLACK & DECKER CORP (BDK),"Prior to its 2010 merger with The Stanley Works, Black & Decker was a manufacturer and marketer of power tools and accessories, hardware and home improvement products, and technology-based fastening systems.","Acquired.,manufacturing"
"C. R. BARD, INC. (BCR)","Founded in 1907, C. R. Bard designs, manufactures, and sells vascular, urology and oncology devices for surgical, diagnostic and patient care use.","Acquired.,health care,medical devices"
BRUNSWICK CORPORATION (BC),"Brunswick was incorporated in 1907. The company designs, manufactures and markets recreational marine engines, boats, fitness and other active recreation products.",manufacturing
"BEST BUY CO., INC. (BBY)","Best Buy is a retailer of technology products with stores in the U.S., Canada and Mexico.",retail
BB&T CORPORATION (BBT),"BB&T is a financial holding company. Its Branch Bank subsidiary, established in 1872, provides banking and trust services for retail and commercial clients in the Mid-Atlantic and Southern states of the U.S.","banking,financial company"
BED BATH & BEYOND INC. (BBBY),"Bed Bath & Beyond is a retailer of domestics merchandise, such as bed linens, bath items and kitchen textiles, and home furnishings. The company operates stores under names including Bed Bath & Beyond, Christmas Tree Shops, Harmon, buybuy BABY, World Market, and Cost Plus World Market, and online",retail
BAXTER INTERNATIONAL INC. (BAX),"Baxter provides dialysis systems, sterile IV solutions, infusion systems and devices, parenteral nutrition, biosurgery products and anesthetics, and pharmacy automation products. Baxter products are used by hospitals, dialysis centers, nursing homes, clinics and by patients at home under physician supervision.","health care,pharmaceuticals"
BANK OF AMERICA CORPORATION (BAC),"Bank of America is a bank holding company that serves consumers, businesses, and governments with a full range of banking, investing, asset management and other financial and risk management products and services.","banking,financial company"
THE BOEING COMPANY (BA),"Boeing produces and finances commercial airplanes, and produces military aircraft, electronics systems, satellites and launch vehicles, and other missile and defense systems.",equipment
"AUTOZONE, INC. (AZO)","AutoZone is a retailer and distributor of automotive replacement parts and accessories, primarily in the U.S.",retail
"ACUITY BRANDS, INC. (AYI)","The company provides lighting and building management solutions for commercial, institutional, industrial, infrastructure, and residential applications. Company products include luminaires, lighting controls and components, controllers for HVAC systems, power supplies, and prismatic skylights.","engineering and construction,equipment"
"ALLEGHENY ENERGY, INC (AYE)","Prior to its 2010 merger with FirstEnergy, Allegheny Energy owned and operated electric generation facilities and delivered electricity in Pennsylvania, West Virginia, Maryland and Virginia.","Acquired.,utility"
AMERICAN EXPRESS COMPANY (AXP),"American Express Company was founded in 1850. The company is a bank holding company that provides charge and credit card products, merchant transaction processing and settlement, merchant financing, and other financial services.","banking,financial company,financial services"
"AMERICAN WATER WORKS COMPANY, INC. (AWK)","American Water Works provides regulated water and wastewater utility services to residential, commercial, and industrial customers in a number of states in the U.S.",utility
ALLIED WASTE INDUSTRIES INC (AW),"Acquired by Republic Services in 2008, Allied Waste was a U.S. non-hazardous, solid waste management company, providing collection, transfer, recycling and disposal services to residential, commercial and industrial customers.","Acquired.,business services,consumer services"
AVERY DENNISON CORPORATION (AVY),"Avery Dennison produces tickets, tags, labels, and imprinting equipment, and supplies pressure-sensitive materials to printers, retailers, apparel manufacturers, and brand owners.",materials
"AVON PRODUCTS, INC. (AVP)","Avon is a global manufacturer and marketer of beauty and related products, founded in 1886. Company product categories include skincare, cosmetics, fashion jewelry, apparel, footwear, accessories, housewares, entertainment products, children’s products and nutritional products.",consumer goods
BROADCOM LIMITED (AVGO),"Broadcom designs analog and digital semiconductors for connectivity, focusing on analog III-V based products and digital and mixed signal complementary metal oxide semiconductor devices. Company products are used in data center networking, home connectivity, telecommunications, smartphones and base stations, factory automation, power generation, and electronic displays.",hardware
"AVALONBAY COMMUNITIES, INC. (AVB)","AvalonBay is a real estate investment trust (REIT)  that develops, owns and operates multifamily housing primarily in New England, the New York/New Jersey metro area, the Mid-Atlantic and the West coast of the U.S.","real estate,REIT"
"ACTIVISION BLIZZARD, INC. (ATVI)","Activision Blizzard is a worldwide developer and publisher of online, personal computer, console, and mobile games.",software
ALLEGHENY TECHNOLOGIES INCORPORATED (ATI),"Allegheny produces titanium and titanium alloys, nickel-based alloys and specialty steels, precision forgings, castings and machined components, zirconium and alloys, and engineered steel products.",materials
ADTALEM GLOBAL EDUCATION INC. (ATGE),,
ASHLAND INC. (ASH),"Ashland is a global supplier of specialty chemicals and, through Valvoline, of branded automotive, commercial and industrial lubricants.",materials
"ARROW ELECTRONICS, INC. (ARW)","Arrow distributes electronic components, such as semiconductors, capacitors, resistors, power supplies, relays and switches to original equipment and contract manufacturers around the world.",business services
ARRIS INTERNATIONAL PLC (ARRS),"ARRIS provides set-top boxes, digital video and Internet Protocol Television distribution systems, broadband access infrastructure platforms, and associated data and voice customer premises equipment for cable, telephone, and digital broadcast satellite operators and media programmers.","equipment,hardware"
ARCONIC INC. (ARNC),"Arconic (formerly Alcoa Inc.) makes sheet and plate aluminum, and forged and machined aluminum and titanium components for the aerospace, automotive, power and propulsion, transportation, and industrial markets.",materials
"AIRGAS, INC. (ARG)","Airgas is a U.S. supplier of industrial, medical and specialty gases and equipment, such as welding equipment.","Acquired.,materials"
"ALEXANDRIA REAL ESTATE EQUITIES, INC. (ARE)","Alexandria is a REIT that develops and operates urban office space, primarily for life science and technology campuses.","real estate,REIT"
"AMERIGAS PARTNERS, L.P. (APU)","AmeriGas Partners is the largest retail propane distributor in the U.S. serving residential, commercial, industrial, agricultural, and wholesale customers.",energy
"APOLLO EDUCATION GROUP, INC. (APOL)","Acquired in 2017, Apollo Education Group offered undergraduate, graduate, certificate and nondegree programs online and on-campus, through University of Phoenix and other subsidiaries.","Acquired.,consumer services"
AMPHENOL CORPORATION (APH),"Amphenol designs, manufactures and markets electrical, electronic and fiber optic connectors, antennas, sensors and coaxial and high-speed specialty cable for customers in the automotive, communications, aerospace, military, and industrial markets.",hardware
"AIR PRODUCTS AND CHEMICALS, INC. (APD)","Air Products and Chemicals provides atmospheric gases, process and specialty gases, electronics and performance materials, and equipment and services to energy, electronics, chemicals, metals, and manufacturing customers worldwide.",materials
ANADARKO PETROLEUM CORPORATION (APC),"Anadarko Petroleum explores for, and produces oil and gas in the U.S., in the deepwater Gulf of Mexico, and in Algeria, Ghana, Mozambique, Colombia,  and other countries.",energy
APACHE CORPORATION (APA),"Apache explores for, develops, and produces oil and gas in the U.S., Canada, Egypt, and the U.K.",energy
A. O. SMITH CORPORATION (AOS),The company manufactures and markets residential and commercial gas and electric water heaters and water treatment products.,equipment
AON PLC (AON),"Aon is a global provider of professional services to businesses. Company services include advisory and insurance and reinsurance brokerage services, helping clients place insurance risk with insurance carriers, and human resource services, such as actuarial, compensation planning, and benefits administration services.","business services,financial company,insurance"
"ANTHEM, INC. (ANTM)",Anthem is a U.S. health insurance company.,"financial company,health care,insurance"
"ANSYS, INC. (ANSS)","ANSYS develops and markets engineering simulation software used in academic, aerospace and defense, automotive, industrial equipment, electronics, biomedical, energy, materials and chemical processing, and other industries.",software
"ALPHA NATURAL RESOURCES, INC. (ANR)","Prior to filing for bankruptcy in 2015, Alpha was a U.S. coal producer, supplying metallurgical coal for use in the steel-making process and thermal coal to electric utilities and manufacturing industries.","Bankruptcy.,energy,materials"
ABERCROMBIE & FITCH CO. (ANF),"Abercrombie & Fitch is an apparel and accessories retailer that sells products under Abercrombie & Fitch, abercrombie kids, and Hollister brands.",retail
ANDREW CORPORATION (ANDW),"Prior to its 2007 merger with CommScope, Andrew Corporation provided radio frequency (RF) products used in the infrastructure for wireless networks.","Acquired.,hardware"
ANDEAVOR (ANDV),"Acquired in 2018, Andeavor primarily manufactured, transported and sold transportation fuels and crude oil in the U.S.","Acquired.,energy,materials"
"AUTONATION, INC. (AN)","AutoNation is an automotive retailer with stores located predominantly in major metropolitan markets in the Sunbelt region of the U.S. The company sells new and used vehicles, repair and maintenance services, as well as wholesale parts.",retail
"AMAZON.COM, INC. (AMZN)","Amazon operates retail websites, provides computing, data storage, and database services, and manufactures and sells electronic devices, such as Kindle e-readers.","internet,IT services,retail"
AMERICAN TOWER CORPORATION (AMT),"The company is a real estate investment trust (REIT) that owns and operates multi-tenant communications towers used by wireless service providers, radio and television broadcasters, and governments.","equipment,real estate,REIT,telecommunications"
"ALEXANDER & BALDWIN, INC. (ALEX)","A&B develops, owns, and operates commercial and residential real estate properties, primarily in Hawaii. The company is also engaged in agricultural and construction materials businesses.","materials,real estate"
ALBEMARLE CORPORATION (ALB),"The company develops, manufactures and markets specialty chemicals, such as lithium compounds, bromine, and polymer catalysts for use in petroleum refining, consumer electronics, energy storage, construction, automotive, aerospace, pharmaceuticals, and other industries.",materials
"AKORN, INC. (AKRX)","Akorn develops, manufactures and markets generic, branded, and private-label prescription pharmaceuticals and over-the-counter consumer health products and animal pharmaceuticals. The company specializes in ophthalmics, injectables, oral liquids, otics, topicals, inhalants and nasal sprays.",pharmaceuticals
"AKAMAI TECHNOLOGIES, INC. (AKAM)","Akamai provides content delivery network (CDN) services for delivering, optimizing and securing content and business applications over the Internet.","IT services,telecommunications"
ARTHUR J. GALLAGHER & CO. (AJG),"Gallagher provides insurance brokerage, consulting services, and third-party claims settlement and administration services, acting as an intermediary between insurers and their customers.",business services
"ASSURANT, INC. (AIZ)","Assurant is a global provider of specialized insurance products, such as extended service contracts and product warranties, e.g. for mobile devic, funeral cost insurance, and credit insurance in the event of death, unemployment or disability.","financial company,insurance"
APARTMENT INVESTMENT AND MANAGEMENT COMPANY (AIV),Aimco is a self-administered and self-managed real estate investment trust (REIT). The company operates a portfolio of rental apartment homes.,"real estate,REIT"
"AMERICAN INTERNATIONAL GROUP, INC. (AIG)","AIG is a global insurance company founded in 1919. The company provides property casualty insurance, life insurance, retirement products, mortgage insurance and other financial services.","financial company,insurance"
